"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"INDUSINDBK",1073,1114.5,1007.95,1074.75,1105,2.81,6082307,6557031061.35,"11-Aug-2022"
"HDFCLIFE",519.65,533.5,518.5,517.05,531.35,2.77,4153200,2189068656,"31-May-2022"
"EICHERMOT",3140,3231.45,3132,3128.35,3212.5,2.69,1337741,4281560467.19,"12-Aug-2022"
"APOLLOHOSP",4329,4481.1,4320.3,4320.2,4404.95,1.96,1257056,5572566959.68,"24-Feb-2023"
"POWERGRID",227.3,231.65,227,227.3,231.65,1.91,8571466,1965008580.5,"08-Feb-2023"
"AXISBANK",853.65,867.7,845,851.05,864,1.52,23934570,20449935953.7,"07-Jul-2022"
"BRITANNIA",4239,4350,4222.55,4271.3,4255,1.33,454438,1948198427.9,"13-Apr-2023"
"KOTAKBANK",1838,1874.3,1831,1844.05,1868,1.3,2924116,5421018652.4,"11-Aug-2022"
"BAJAJFINSV",1320.9,1346,1318,1321.55,1338.5,1.28,1330391,1777562022.92,"13-Sep-2022"
"ADANIENT",1855,1885,1826.05,1847.25,1869.5,1.2,3402280,6323987950,"14-Jul-2022"
"HINDALCO",418.05,422.75,415.35,417.65,422.2,1.09,6368113,2672314939.32,"11-Aug-2022"
"SBIN",529.3,534.25,527.15,528.2,533.4,0.98,28597560,15168145824,"25-May-2022"
"ASIANPAINT",2786.7,2813.3,2782,2786.75,2812,0.91,602597,1689561468.6,"31-Oct-2022"
"ICICIBANK",891.1,901.65,886.5,890.15,898,0.88,34439635,30780079384.9,"08-Aug-2022"
"HDFC",2770,2791.95,2765.15,2769.25,2791.95,0.82,5191333,14419758020.78,"31-May-2022"
"ONGC",158.15,160.5,158,157.65,158.95,0.82,11610851,1846589743.04,"24-Feb-2023"
"BAJFINANCE",5856.95,5937,5850.4,5856.95,5901.5,0.76,833006,4909037638.96,"30-Jun-2022"
"TATAMOTORS",464.95,472,463.25,465.5,468.85,0.72,12733670,5963304997.7,"18-Jul-2016"
"HDFCBANK",1688.3,1697.05,1678.15,1684.9,1695,0.6,17665043,29795628028.1,"12-May-2022"
"ITC",395.5,396.6,393.7,393.55,395.7,0.55,6059044,2395443045.4,"15-Feb-2023"
